  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      21	 12:51:03	   9.000	   89.13	 1012.02	   22.24	  719.78	   1.194	 -665.62	 -430.62	 -427.69	 -343.09	 -292.44	 -254.66	 -215.92	 -187.97	 -170.86	 -156.32	 -134.40	 -131.83	 -122.28	 -113.12	  -94.87	  -85.99	  -70.10	  -58.90	  -47.57	  -35.02	  -24.66	  -12.06	   -0.66	    7.73	   19.44	 -667.10	   84.80	  179.30	  148.11	  111.76	   90.50	   74.49	   64.30	   56.64	   50.03	   44.63	   40.07	   35.86	   32.90	   30.03	   27.56	   25.57	   24.56	   23.58	   23.53	   24.30	   25.01	   25.84	   19.44	  184.38	  184.84	  185.15	  183.16	  184.42	  184.54	  185.25	  184.35	  184.92	  184.21	  184.42	  183.44	  184.56	  183.87	  183.85	  184.66	  182.74	  180.72	  172.96	  155.09	  140.05	  139.27	  154.46	  172.03	  180.71	  184.15	  184.24	  184.27	  184.24	  184.24	  182.85	  185.16	  187.01	  183.54	  186.61	  186.80	  186.36	  185.97	  185.66	  187.92	  185.66	  187.06	  186.54	  184.72	  185.66	  187.30	  185.47	  186.25	    6.06	   11.13	   11.48	   10.36	    9.38	    9.83	    9.92	    9.10	    8.09	    6.96	    7.03	   11.64	    0.15	    0.06	    0.01	   -0.02
      22	 12:51:16	   9.500	   87.78	 1012.00	   22.24	  719.89	   1.193	 -730.37	 -443.56	 -454.80	 -385.99	 -291.03	 -245.48	 -214.03	 -195.14	 -178.16	 -160.87	 -137.52	 -134.21	 -123.04	 -112.85	  -95.28	  -85.97	  -69.54	  -58.17	  -46.73	  -34.09	  -24.35	  -12.09	   -1.25	    6.37	   16.60	 -731.24	   71.84	  179.46	  152.39	  116.35	   94.32	   78.09	   67.47	   59.45	   52.60	   47.04	   42.15	   37.58	   34.57	   31.43	   28.80	   26.60	   25.43	   24.22	   23.96	   24.44	   24.87	   25.49	   16.60	  185.09	  185.68	  185.94	  184.05	  185.28	  185.33	  186.01	  185.05	  185.70	  184.97	  185.14	  184.31	  185.25	  184.57	  184.61	  185.36	  182.94	  178.35	  167.15	  148.74	  138.05	  141.28	  157.70	  174.81	  181.92	  184.82	  185.10	  184.77	  184.96	  185.00	  183.46	  185.84	  187.11	  183.34	  186.76	  186.88	  186.41	  186.15	  185.78	  187.97	  185.88	  187.11	  186.55	  184.77	  185.66	  187.37	  185.58	  186.27	    6.10	   11.35	   11.69	   10.57	    9.35	   10.05	    9.94	    9.31	    8.23	    7.07	    7.11	   11.86	    0.12	    0.07	   -0.03	   -0.16
      23	 12:51:33	  10.000	   89.83	 1012.05	   22.25	  719.89	   1.194	 -774.69	 -439.37	 -481.77	 -456.63	 -256.04	 -244.57	 -217.81	 -200.18	 -182.24	 -163.25	 -139.08	 -134.22	 -123.07	 -112.77	  -93.26	  -84.62	  -67.30	  -56.04	  -44.54	  -31.88	  -22.53	  -12.48	   -2.76	    2.87	   11.41	 -776.02	   57.51	  181.14	  157.36	  120.92	   98.65	   81.93	   71.08	   62.70	   55.43	   49.52	   44.37	   39.42	   36.21	   32.77	   29.88	   27.37	   25.89	   24.38	   23.78	   23.93	   23.94	   23.96	   11.41	  186.36	  186.92	  187.14	  185.39	  186.48	  186.51	  187.32	  186.37	  187.01	  186.41	  186.51	  185.76	  186.67	  186.03	  186.01	  186.36	  182.14	  173.68	  160.03	  143.79	  137.75	  143.56	  159.19	  174.80	  182.43	  186.18	  186.47	  186.38	  186.33	  186.27	  184.83	  187.40	  188.65	  184.49	  188.30	  188.57	  187.93	  187.73	  187.36	  189.66	  187.29	  188.78	  188.34	  186.21	  187.39	  188.98	  187.16	  187.96	    6.23	   11.56	   11.90	   10.74	    9.04	    9.91	    9.32	    9.27	    8.43	    7.23	    7.21	   12.04	    0.25	    0.06	   -0.01	    0.00
      24	 12:51:46	  10.500	   87.40	 1011.99	   22.25	  719.98	   1.193	 -804.92	 -441.65	 -516.22	 -500.45	 -263.58	 -247.45	 -219.36	 -200.66	 -182.28	 -163.23	 -138.02	 -132.77	 -120.99	 -109.63	  -90.13	  -80.05	  -64.56	  -52.91	  -41.86	  -30.20	  -22.02	  -13.09	   -4.53	   -0.22	    6.31	 -805.22	   39.82	  177.71	  158.23	  122.87	  100.16	   83.98	   72.61	   64.07	   56.59	   50.51	   45.16	   40.17	   36.57	   32.97	   29.84	   27.13	   25.43	   23.66	   22.76	   22.56	   22.33	   22.04	    6.31	  183.91	  184.41	  184.63	  182.83	  184.09	  184.12	  184.67	  183.89	  184.42	  183.76	  183.88	  183.09	  183.98	  183.45	  183.25	  182.72	  176.58	  165.74	  151.83	  137.30	  131.44	  136.12	  151.22	  166.92	  177.05	  182.48	  183.56	  183.61	  183.80	  183.64	  182.42	  184.78	  185.19	  181.34	  184.75	  184.73	  184.44	  184.27	  183.82	  186.09	  183.94	  185.14	  184.50	  182.68	  183.95	  185.39	  183.60	  184.45	    6.06	   11.37	   11.70	   10.54	    8.51	    9.70	    8.92	    9.17	    8.29	    7.07	    7.07	   11.86	    0.18	    0.07	   -0.02	    0.01
      25	 12:52:03	  11.000	   88.07	 1012.02	   22.25	  720.10	   1.193	 -844.07	 -468.15	 -567.45	 -546.51	 -284.97	 -257.52	 -225.20	 -204.57	 -185.01	 -165.03	 -139.33	 -133.84	 -120.08	 -108.07	  -88.38	  -78.78	  -62.69	  -50.53	  -40.17	  -29.63	  -22.16	  -14.21	   -7.16	   -3.34	    2.17	 -846.09	   25.70	  178.51	  162.39	  127.06	  103.92	   87.61	   75.64	   66.82	   59.01	   52.63	   47.12	   41.84	   38.02	   34.14	   30.79	   27.85	   25.94	   23.90	   22.77	   22.28	   21.79	   21.24	    2.17	  185.57	  186.21	  186.36	  184.48	  185.80	  185.70	  186.47	  185.50	  186.17	  185.55	  185.65	  184.81	  185.83	  185.05	  184.56	  182.96	  174.48	  161.39	  146.41	  133.59	  131.08	  137.32	  153.43	  169.32	  178.98	  184.46	  185.47	  185.36	  185.58	  185.56	  184.11	  186.60	  185.90	  182.82	  185.44	  185.47	  185.24	  184.97	  184.52	  186.83	  184.57	  185.86	  185.40	  183.50	  184.59	  186.11	  184.33	  185.27	    5.93	   11.38	   11.72	   10.46	    8.11	    9.64	    8.69	    9.27	    8.24	    7.00	    6.96	   11.89	    0.08	    0.05	   -0.01	   -0.00
      26	 12:52:25	  11.500	   88.87	 1012.01	   22.27	  719.92	   1.193	 -759.09	 -543.80	 -663.28	 -406.85	 -313.32	 -269.19	 -231.34	 -208.62	 -187.05	 -166.44	 -139.09	 -131.37	 -117.37	 -105.06	  -84.00	  -73.73	  -58.16	  -46.00	  -37.25	  -28.21	  -23.78	  -16.72	  -11.92	   -9.44	   -5.13	 -760.98	   -3.37	  178.19	  166.50	  131.95	  108.68	   91.57	   79.21	   70.00	   61.80	   55.05	   49.28	   43.54	   39.46	   35.25	   31.60	   28.30	   26.01	   23.60	   22.13	   21.17	   20.22	   19.15	   -5.13	  187.02	  187.55	  187.75	  186.09	  187.03	  187.02	  187.82	  186.85	  187.54	  187.05	  187.28	  186.14	  187.37	  186.62	  186.54	  187.40	  185.50	  185.36	  187.37	  187.25	  181.98	  172.79	  160.15	  143.23	  131.11	  127.05	  134.02	  149.07	  164.57	  177.78	  182.67	  187.56	  187.79	  184.32	  187.19	  187.48	  186.99	  186.78	  186.40	  188.75	  186.49	  187.78	  187.36	  185.18	  186.47	  188.10	  186.16	  187.01	    6.71	   11.78	   12.23	   11.20	   10.52	    8.08	    9.38	    8.56	    9.09	    7.91	    7.85	   12.24	   -0.18	    0.05	   -0.08	   -0.12
      27	 12:52:40	  12.000	   88.68	 1012.05	   22.28	  719.93	   1.193	 -784.83	 -574.33	 -711.67	 -385.31	 -322.98	 -272.92	 -233.82	 -209.75	 -186.20	 -164.33	 -135.07	 -127.26	 -111.41	  -98.07	  -77.42	  -64.45	  -51.32	  -40.34	  -33.97	  -28.03	  -27.75	  -23.37	  -19.27	  -18.38	  -12.73	 -786.59	  -13.44	  177.99	  169.15	  134.75	  111.38	   93.88	   81.39	   71.87	   63.38	   56.37	   50.29	   44.28	   39.93	   35.45	   31.51	   27.92	   25.28	   22.56	   20.67	   19.34	   17.95	   16.38	  -12.73	  188.49	  188.95	  188.98	  187.70	  188.45	  188.53	  189.14	  188.30	  188.92	  188.57	  188.72	  187.68	  188.96	  188.05	  187.96	  188.91	  186.87	  186.92	  188.64	  187.31	  180.02	  168.90	  155.07	  138.63	  128.65	  126.91	  134.64	  149.92	  165.54	  178.96	  183.99	  188.76	  189.60	  186.33	  189.06	  189.53	  188.90	  188.66	  188.34	  190.53	  188.62	  189.73	  189.37	  187.07	  188.58	  189.92	  188.09	  188.90	    6.97	   12.09	   12.59	   11.58	   10.87	    7.98	    9.16	    8.64	    9.40	    8.28	    8.19	   12.53	    0.21	    0.08	   -0.05	   -0.15
      28	 12:52:53	  12.500	   86.42	 1012.05	   22.29	  719.88	   1.193	 -725.60	 -565.86	 -697.50	 -405.73	 -308.86	 -259.84	 -220.54	 -195.71	 -171.43	 -150.00	 -118.85	 -109.81	  -94.26	  -80.69	  -59.41	  -49.29	  -40.63	  -33.74	  -32.75	  -30.16	  -32.03	  -30.21	  -25.35	  -25.67	  -19.06	 -725.80	  -15.41	  173.61	  167.47	  134.58	  111.78	   94.55	   82.06	   72.55	   64.07	   56.97	   50.84	   44.87	   40.24	   35.56	   31.44	   27.62	   24.74	   21.67	   19.47	   17.74	   15.83	   13.64	  -19.06	  184.68	  185.25	  185.53	  183.76	  184.74	  184.81	  185.27	  184.62	  185.24	  184.54	  184.69	  183.86	  184.92	  184.21	  184.26	  184.84	  183.16	  182.72	  184.04	  181.05	  172.23	  159.29	  144.98	  130.60	  122.87	  122.68	  130.69	  144.96	  160.18	  173.34	  179.23	  184.49	  185.89	  182.75	  185.26	  185.40	  185.19	  184.93	  184.52	  186.84	  184.72	  186.01	  185.34	  183.40	  184.43	  186.08	  184.29	  185.04	    7.80	   12.68	   13.19	   12.18	   11.35	    7.98	    8.66	    8.71	   10.12	    9.07	    8.93	   13.07	    0.67	    0.07	   -0.01	   -0.00
      29	 12:53:06	  13.000	   87.91	 1011.89	   22.29	  719.77	   1.193	 -716.10	 -568.72	 -704.43	 -438.33	 -308.81	 -256.92	 -217.35	 -191.24	 -164.32	 -141.18	 -109.68	  -99.39	  -81.66	  -70.33	  -52.41	  -47.27	  -41.66	  -37.81	  -37.59	  -36.85	  -37.56	  -36.51	  -32.73	  -33.72	  -26.35	 -716.97	  -15.69	  174.80	  169.87	  136.59	  113.43	   96.13	   83.21	   73.41	   64.61	   57.26	   50.85	   44.65	   39.67	   34.75	   30.26	   26.18	   22.99	   19.62	   17.05	   14.97	   12.70	   10.16	  -26.35	  186.44	  187.00	  187.30	  185.61	  186.54	  186.58	  187.21	  186.43	  187.12	  186.50	  186.65	  185.72	  186.86	  186.10	  186.09	  186.89	  184.85	  184.16	  184.62	  180.27	  169.35	  154.65	  140.16	  126.54	  120.36	  122.33	  130.47	  145.65	  160.70	  173.77	  179.69	  185.77	  187.64	  185.46	  187.46	  187.91	  187.43	  187.19	  186.82	  189.16	  186.98	  188.19	  187.81	  185.69	  186.79	  188.45	  186.56	  187.39	    7.17	   12.04	   12.59	   11.64	   10.59	    6.36	    6.81	    7.24	    9.23	    8.48	    8.35	   12.39	   -0.03	    0.05	   -0.03	   -0.01
      30	 12:53:19	  13.500	   87.77	 1011.96	   22.29	  720.33	   1.193	 -692.57	 -551.88	 -681.54	 -482.74	 -305.40	 -248.60	 -208.72	 -181.67	 -154.27	 -129.48	  -99.62	  -89.67	  -73.20	  -65.55	  -51.11	  -47.20	  -43.29	  -40.96	  -41.46	  -40.98	  -41.30	  -40.05	  -36.74	  -38.27	  -30.72	 -692.68	  -13.23	  174.86	  170.70	  137.96	  114.75	   97.53	   84.42	   74.42	   65.38	   57.85	   51.27	   44.73	   39.65	   34.55	   29.83	   25.49	   22.05	   18.44	   15.72	   13.28	   10.69	    7.78	  -30.72	  187.06	  187.49	  187.61	  186.15	  187.10	  187.13	  187.69	  186.83	  187.50	  187.03	  187.22	  186.12	  187.39	  186.54	  186.49	  187.17	  184.94	  183.58	  182.29	  175.89	  162.86	  147.35	  134.36	  123.08	  118.78	  121.67	  130.31	  144.14	  158.39	  171.38	  177.72	  184.77	  186.94	  184.55	  187.00	  187.33	  186.93	  186.67	  186.20	  188.57	  186.63	  187.70	  187.31	  185.21	  186.25	  187.88	  186.04	  186.83	    7.52	   12.16	   12.78	   11.92	   10.56	    4.79	    5.94	    5.59	    7.88	    8.72	    8.81	   12.48	   -0.01	    0.08	   -0.07	   -0.13
      31	 12:53:34	  14.000	   87.68	 1011.97	   22.30	  719.88	   1.193	 -388.02	 -368.86	 -333.66	 -306.32	 -258.87	 -227.16	 -205.80	 -194.21	 -178.15	 -162.82	 -139.55	 -134.74	 -124.25	 -116.88	 -101.56	  -97.33	  -88.65	  -83.05	  -77.49	  -72.41	  -67.67	  -62.11	  -55.55	  -51.75	  -36.08	 -388.49	   65.78	  180.63	  162.11	  129.11	  107.27	   91.34	   79.06	   69.74	   61.30	   54.12	   47.69	   41.39	   36.61	   31.72	   27.13	   22.87	   19.57	   16.10	   13.40	   11.15	    8.71	    6.55	  -36.08	  186.98	  187.53	  187.71	  186.21	  187.16	  187.21	  187.46	  186.95	  187.57	  187.00	  186.94	  185.65	  186.61	  185.30	  184.07	  182.94	  178.19	  174.04	  170.66	  164.26	  154.15	  143.69	  136.78	  128.52	  123.86	  120.39	  119.52	  121.42	  123.97	  126.92	  129.74	  135.18	  127.14	  136.65	  136.19	  140.24	  145.37	  148.87	  155.20	  164.36	  168.11	  174.17	  178.09	  179.35	  183.32	  186.91	  186.61	  188.23	   -3.26	   11.44	   11.57	    9.33	    5.94	   -3.02	    0.45	   -4.97	   -4.92	   -5.37	   -4.07	   11.67	    0.03	    0.08	   -0.02	    0.01
      32	 12:57:40	  14.000	   87.42	 1012.12	   22.32	  720.29	   1.193	 -360.09	 -253.48	 -313.76	 -308.61	 -275.95	 -243.31	 -220.19	 -206.69	 -189.48	 -171.39	 -146.06	 -140.45	 -128.64	 -121.19	 -107.48	  -98.71	  -89.58	  -82.81	  -76.68	  -70.37	  -66.09	  -60.26	  -53.47	  -49.74	  -35.37	 -357.22	   86.07	  180.79	  161.90	  129.30	  107.73	   91.49	   79.43	   70.09	   61.69	   54.53	   48.19	   42.03	   37.21	   32.34	   27.78	   23.52	   20.25	   16.86	   14.22	   12.05	    9.66	    7.15	  -35.37	  187.24	  187.72	  187.81	  186.30	  186.58	  187.21	  187.37	  187.06	  187.82	  187.21	  187.42	  186.31	  187.09	  185.63	  184.21	  182.82	  177.96	  172.81	  168.45	  161.28	  152.47	  142.28	  135.24	  127.44	  121.75	  116.47	  113.52	  112.45	  113.93	  116.79	  119.00	  124.35	  130.39	  130.64	  139.98	  144.53	  148.87	  152.71	  159.58	  167.39	  172.15	  178.05	  180.52	  180.84	  184.01	  186.42	  185.41	  187.67	   -1.40	   11.87	   12.06	    9.99	    6.65	   -2.07	    1.56	   -3.55	   -4.13	   -4.21	   -2.55	   12.23	    0.45	    0.09	   -0.11	   -0.23
      33	 12:57:48	  13.500	   89.94	 1012.18	   22.33	  720.24	   1.193	 -680.22	 -481.90	 -670.31	 -490.25	 -306.40	 -249.36	 -209.77	 -182.49	 -154.91	 -130.37	 -100.72	  -90.59	  -75.05	  -67.20	  -55.76	  -49.59	  -45.56	  -42.84	  -43.55	  -41.94	  -42.64	  -41.34	  -38.08	  -39.15	  -31.59	 -678.65	   -6.31	  175.00	  170.33	  137.68	  114.48	   96.99	   84.00	   73.99	   65.00	   57.43	   50.82	   44.09	   39.21	   34.07	   29.38	   25.00	   21.51	   17.96	   15.14	   12.76	   10.21	    7.41	  -31.59	  186.59	  187.22	  187.28	  185.56	  186.01	  186.70	  186.86	  186.60	  187.24	  186.74	  186.90	  185.86	  186.95	  185.99	  186.06	  186.80	  184.59	  182.99	  181.52	  174.54	  162.62	  147.61	  134.98	  122.54	  117.44	  119.26	  127.44	  140.24	  153.80	  166.58	  173.82	  181.19	  186.81	  182.77	  187.23	  187.35	  186.25	  186.64	  186.32	  187.87	  186.80	  187.92	  187.24	  185.21	  186.42	  187.94	  186.12	  187.47	    7.43	   12.03	   12.66	   11.81	   10.42	    4.48	    5.87	    4.98	    7.40	    8.41	    8.62	   12.30	   -0.20	    0.06	   -0.03	   -0.01
      34	 12:57:56	  13.000	   88.70	 1012.03	   22.33	  720.17	   1.193	 -719.74	 -563.45	 -706.74	 -457.72	 -309.77	 -256.34	 -215.74	 -188.90	 -161.85	 -137.43	 -105.73	  -96.19	  -78.08	  -68.22	  -54.63	  -46.91	  -42.40	  -38.82	  -40.39	  -38.44	  -39.52	  -38.15	  -34.39	  -35.70	  -28.12	 -718.23	  -14.74	  177.12	  172.24	  138.57	  115.39	   97.41	   84.56	   74.53	   65.58	   58.04	   51.51	   44.86	   40.03	   34.98	   30.39	   26.14	   22.80	   19.33	   16.62	   14.40	   11.98	    9.41	  -28.12	  188.58	  189.18	  189.12	  187.71	  187.82	  188.73	  188.93	  188.38	  189.18	  188.75	  188.95	  187.87	  189.14	  188.14	  188.10	  189.08	  186.84	  185.94	  185.46	  179.37	  167.87	  153.07	  139.15	  126.49	  121.75	  124.07	  132.47	  146.86	  161.12	  174.24	  181.30	  187.71	  188.92	  187.96	  188.77	  189.01	  187.86	  188.27	  187.89	  189.47	  188.53	  189.46	  189.00	  186.79	  188.15	  189.54	  187.75	  189.15	    7.47	   12.34	   12.90	   11.96	   10.83	    6.50	    6.99	    7.48	    9.57	    8.79	    8.61	   12.69	    0.10	    0.07	   -0.03	    0.01
      35	 12:58:13	  12.500	   87.77	 1012.11	   22.34	  719.88	   1.193	 -734.51	 -570.81	 -705.63	 -411.90	 -311.01	 -261.50	 -221.91	 -196.05	 -171.92	 -149.10	 -118.66	 -108.61	  -91.96	  -79.03	  -60.89	  -49.49	  -41.19	  -34.66	  -34.39	  -31.73	  -33.43	  -31.80	  -27.02	  -27.77	  -20.73	 -733.26	  -15.97	  175.05	  168.81	  135.49	  112.26	   95.46	   82.47	   72.82	   64.24	   57.04	   50.85	   44.54	   40.12	   35.38	   31.15	   27.30	   24.36	   21.23	   18.93	   17.15	   15.14	   12.90	  -20.73	  185.95	  186.52	  186.61	  185.07	  185.44	  186.19	  186.30	  185.90	  186.60	  186.03	  186.26	  185.24	  186.28	  185.48	  185.54	  186.39	  184.46	  184.05	  185.05	  181.62	  172.07	  158.75	  145.04	  130.19	  122.82	  123.50	  131.57	  145.83	  160.80	  174.22	  180.18	  185.60	  186.53	  183.59	  186.19	  186.20	  185.47	  185.70	  185.44	  186.98	  185.79	  187.06	  186.32	  184.29	  185.36	  187.01	  185.24	  186.60	    7.25	   12.23	   12.75	   11.83	   11.00	    7.67	    8.33	    8.51	    9.58	    8.59	    8.46	   12.65	    0.34	    0.08	   -0.04	   -0.17
      36	 12:58:24	  12.000	   89.28	 1012.11	   22.35	  719.90	   1.193	 -755.51	 -563.21	 -692.98	 -392.49	 -313.19	 -264.95	 -225.27	 -201.47	 -179.19	 -156.75	 -128.38	 -119.50	 -104.09	  -91.61	  -73.44	  -58.09	  -46.86	  -37.07	  -33.40	  -27.64	  -28.76	  -24.53	  -20.35	  -20.18	  -14.30	 -754.39	  -13.80	  174.86	  166.79	  133.25	  110.36	   93.62	   80.63	   71.26	   62.91	   55.93	   49.97	   43.84	   39.66	   35.18	   31.24	   27.66	   24.96	   22.19	   20.20	   18.77	   17.22	   15.37	  -14.30	  184.79	  185.45	  185.50	  183.68	  184.29	  185.12	  185.06	  184.81	  185.51	  184.71	  185.06	  184.03	  185.07	  184.27	  184.40	  185.16	  183.36	  182.96	  184.83	  182.92	  175.27	  164.03	  150.86	  134.63	  125.01	  123.45	  130.63	  145.40	  160.30	  173.78	  179.32	  184.77	  186.58	  182.42	  186.17	  186.18	  185.34	  185.70	  185.35	  186.94	  185.77	  186.91	  186.27	  184.20	  185.43	  187.00	  185.21	  186.41	    6.96	   11.92	   12.38	   11.40	   10.66	    7.70	    8.67	    8.27	    9.33	    8.20	    8.03	   12.33	    0.11	    0.06	   -0.03	    0.01
      37	 12:58:33	  11.500	   88.79	 1012.12	   22.35	  719.48	   1.193	 -758.17	 -552.27	 -665.62	 -405.84	 -311.50	 -266.23	 -229.03	 -205.18	 -184.45	 -163.22	 -136.96	 -128.02	 -113.79	 -101.94	  -83.32	  -69.39	  -55.15	  -43.71	  -36.67	  -27.63	  -24.49	  -17.94	  -13.40	  -11.47	   -7.17	 -757.70	   -6.16	  176.84	  166.41	  132.03	  108.76	   91.87	   79.45	   70.22	   62.04	   55.23	   49.41	   43.56	   39.58	   35.30	   31.58	   28.25	   25.89	   23.42	   21.81	   20.75	   19.66	   18.45	   -7.17	  185.99	  186.60	  186.76	  185.09	  185.42	  186.27	  186.19	  185.90	  186.63	  185.92	  186.26	  185.09	  186.15	  185.42	  185.51	  186.32	  184.39	  184.40	  186.41	  185.78	  180.21	  170.92	  158.18	  140.89	  129.78	  126.86	  133.90	  147.95	  163.13	  176.45	  181.56	  186.26	  186.73	  184.34	  186.04	  186.02	  185.23	  185.62	  185.27	  186.86	  185.63	  186.83	  186.23	  184.08	  185.21	  186.96	  185.07	  186.36	    6.99	   11.99	   12.40	   11.39	   10.71	    8.30	    9.45	    8.63	    9.34	    8.17	    8.06	   12.40	    0.13	    0.07	   -0.03	   -0.00
      38	 12:58:43	  11.000	   88.77	 1012.07	   22.36	  720.11	   1.193	 -742.87	 -518.21	 -610.82	 -529.67	 -301.32	 -265.93	 -230.80	 -208.98	 -188.37	 -167.70	 -143.05	 -134.24	 -121.41	 -108.61	  -91.81	  -78.92	  -62.42	  -50.26	  -41.19	  -29.60	  -24.24	  -15.65	   -8.89	   -5.72	   -1.36	 -741.40	    9.68	  180.82	  165.92	  130.24	  106.94	   89.80	   77.58	   68.48	   60.44	   53.79	   48.10	   42.54	   38.65	   34.59	   31.09	   28.02	   25.88	   23.72	   22.46	   21.76	   21.13	   20.38	   -1.36	  188.20	  188.78	  188.85	  187.58	  187.70	  188.40	  188.59	  188.12	  188.78	  188.39	  188.62	  187.48	  188.71	  187.82	  187.69	  188.74	  186.62	  186.80	  188.91	  189.01	  185.54	  178.05	  166.49	  149.76	  135.81	  130.36	  136.13	  150.55	  166.29	  179.81	  184.47	  188.98	  187.77	  185.11	  187.11	  187.38	  186.31	  186.69	  186.29	  187.92	  186.79	  187.96	  187.29	  185.27	  186.47	  188.06	  186.19	  187.33	    6.57	   11.67	   12.08	   11.10	   10.46	    8.40	    9.83	    8.78	    8.93	    7.78	    7.70	   12.12	   -0.17	    0.08	   -0.01	   -0.09
      39	 12:58:53	  10.500	   88.18	 1012.11	   22.37	  720.03	   1.193	 -814.38	 -457.59	 -525.86	 -513.22	 -268.13	 -250.27	 -221.42	 -202.07	 -183.53	 -164.50	 -141.14	 -133.10	 -121.30	 -109.63	  -93.20	  -80.14	  -64.63	  -52.91	  -43.20	  -30.24	  -23.27	  -13.23	   -4.70	   -0.48	    5.79	 -813.24	   36.47	  179.76	  160.76	  124.64	  101.90	   85.16	   73.80	   65.15	   57.57	   51.33	   45.87	   40.70	   37.26	   33.50	   30.37	   27.63	   25.83	   24.02	   23.07	   22.86	   22.58	   22.26	    5.79	  185.86	  186.32	  186.39	  184.73	  185.11	  186.02	  186.01	  185.77	  186.42	  185.78	  186.05	  185.10	  185.93	  185.27	  185.38	  186.17	  184.41	  184.08	  186.41	  186.80	  184.72	  180.09	  171.18	  155.90	  141.57	  132.29	  134.77	  148.22	  164.37	  178.23	  182.40	  186.58	  187.23	  183.02	  186.68	  186.91	  185.97	  186.28	  185.92	  187.54	  186.31	  187.45	  186.83	  184.73	  185.93	  187.59	  185.73	  187.08	    6.65	   11.70	   12.10	   11.13	   10.52	    8.84	   10.51	    9.17	    8.95	    7.81	    7.74	   12.14	    0.13	    0.11	   -0.05	   -0.11
      40	 12:59:01	  10.000	   89.57	 1012.19	   22.36	  719.75	   1.193	 -790.06	 -443.79	 -493.98	 -475.89	 -256.28	 -248.57	 -221.33	 -203.28	 -185.19	 -165.96	 -144.82	 -136.59	 -124.99	 -113.90	  -97.21	  -84.92	  -68.35	  -56.55	  -46.25	  -32.70	  -24.21	  -13.00	   -3.58	    2.09	   10.19	 -789.06	   54.62	  184.49	  160.02	  122.87	  100.02	   83.52	   72.07	   63.51	   56.11	   50.07	   44.70	   39.77	   36.43	   32.88	   29.93	   27.37	   25.81	   24.23	   23.56	   23.65	   23.64	   23.68	   10.19	  188.93	  189.58	  189.52	  188.34	  188.31	  189.14	  189.12	  188.84	  189.58	  189.13	  189.23	  188.18	  189.13	  188.61	  188.50	  189.44	  187.29	  187.27	  189.61	  189.99	  189.19	  186.42	  180.29	  165.24	  149.13	  139.26	  143.41	  157.41	  173.06	  184.49	  186.57	  190.01	  188.37	  185.54	  187.71	  187.92	  186.88	  187.23	  186.98	  188.46	  187.35	  188.31	  187.94	  185.72	  186.93	  188.58	  186.74	  188.01	    6.89	   11.87	   12.24	   11.25	   10.61	    9.18	   10.88	    9.26	    9.16	    7.99	    7.91	   12.30	   -0.16	    0.07	   -0.01	   -0.02
